CUSTOMER_ID,AGE,INCOME,PAID_BACK_LOAN
customer_1,2,39,T
customer_6,77,88,T
customer_7,50,19,T
customer_8,44,90,T
customer_10,43,26,T
customer_13,87,70,T
customer_14,37,66,T
customer_16,57,1,T
customer_18,4,15,T
customer_19,4,38,T
customer_21,74,47,T
customer_26,16,57,T
customer_32,56,79,T
customer_33,28,53,T
customer_37,42,91,T
customer_38,40,67,T
customer_40,59,42,T
customer_41,4,8,T
customer_42,64,22,F
customer_46,51,82,T
customer_47,33,30,F
customer_48,72,73,T
customer_50,53,29,T
customer_51,46,99,T
customer_54,97,94,T
customer_62,59,42,T
customer_63,90,63,T
customer_67,48,59,F
customer_73,88,89,T
customer_75,42,53,F
customer_76,75,92,T
customer_77,17,43,T
customer_79,46,92,T
customer_81,89,5,T
customer_84,43,10,T
customer_87,57,61,T
customer_90,97,1,T
customer_92,94,10,T
customer_96,99,85,T
customer_97,39,66,T
customer_98,26,58,T
customer_102,41,11,T
customer_104,38,71,T
customer_105,50,80,T
customer_111,46,3,T
customer_112,15,45,T
customer_113,30,61,T
customer_115,95,67,T
customer_116,25,2,T
customer_117,1,2,T
customer_119,49,61,T
customer_121,100,52,T
customer_126,57,96,T
customer_127,82,1,T
customer_129,81,96,T
customer_131,85,100,T
customer_132,96,50,T
customer_134,42,13,T
customer_135,84,64,T
customer_138,22,51,T
customer_140,30,49,T
customer_141,9,11,T
customer_142,100,98,T
customer_144,67,45,T
customer_150,47,63,T
customer_153,24,3,T
customer_156,37,53,T
customer_157,58,68,T
customer_159,4,76,T
customer_162,21,91,T
customer_163,65,73,T
customer_165,7,8,T
customer_168,97,66,T
customer_171,81,77,T
customer_176,7,79,T
customer_185,16,97,T
customer_187,90,39,T
customer_188,87,43,T
customer_191,34,1,T
customer_192,96,36,T
customer_193,19,39,F
customer_198,87,47,T
customer_202,11,44,T
customer_203,74,85,T
customer_209,84,79,T
customer_217,82,1,T
customer_219,21,2,T
customer_222,13,90,T
customer_223,79,58,T
customer_227,92,5,T
customer_230,83,99,T
customer_232,25,32,F
customer_233,92,2,T
customer_235,83,82,T
customer_237,28,51,T
customer_242,60,88,T
customer_243,27,74,T
customer_244,92,39,T
customer_247,99,63,T
customer_248,20,78,T
customer_249,100,92,T
customer_255,47,91,T
customer_256,28,99,T
customer_260,46,70,T
customer_261,91,37,T
customer_265,43,22,T
customer_268,53,23,T
customer_270,17,73,T
customer_276,67,3,T
customer_277,98,48,T
customer_278,26,45,T
customer_284,100,34,T
customer_285,88,57,T
customer_286,48,88,T
customer_287,6,94,T
customer_291,28,100,T
customer_293,15,83,T
customer_294,53,39,T
customer_296,86,96,T
customer_302,37,69,T
customer_304,95,43,T
customer_307,53,97,T
customer_308,98,53,T
customer_310,67,73,T
customer_311,91,38,T
customer_312,60,1,T
customer_313,29,94,T
customer_316,98,70,T
customer_318,37,60,T
customer_319,80,69,T
customer_321,70,59,T
customer_324,21,62,T
customer_330,61,100,T
customer_331,24,91,T
customer_332,97,87,T
customer_333,53,70,T
customer_334,34,6,T
customer_339,55,12,T
customer_341,75,5,T
customer_345,15,56,T
customer_352,20,47,T
customer_353,23,87,T
customer_358,76,93,T
customer_359,30,64,T
customer_365,1,61,T
customer_367,74,96,T
customer_368,68,73,T
customer_369,70,93,T
customer_370,73,51,T
customer_371,96,3,T
customer_373,60,11,T
customer_379,9,42,T
customer_381,28,54,T
customer_384,50,59,F
customer_385,10,74,T
customer_386,18,26,F
customer_388,91,24,F
customer_390,66,92,T
customer_393,64,89,T
customer_394,47,1,T
customer_395,22,65,T
customer_396,94,62,T
customer_398,100,61,T
customer_403,61,87,T
customer_405,33,44,T
customer_406,95,85,T
customer_407,92,77,T
customer_408,52,80,T
customer_412,45,69,T
customer_413,12,87,T
customer_416,97,77,T
customer_418,90,42,T
customer_422,7,86,T
customer_424,64,81,T
customer_425,77,55,T
customer_427,90,78,T
customer_434,8,30,T
customer_437,28,100,T
customer_440,79,84,T
customer_442,13,79,T
customer_443,52,83,T
customer_449,86,32,F
customer_451,25,71,T
customer_452,82,69,T
customer_455,59,66,T
customer_458,33,99,T
customer_460,43,100,T
customer_463,52,91,T
customer_469,76,54,T
customer_470,89,93,T
customer_471,52,38,T
customer_472,34,86,T
customer_474,8,64,T
customer_477,67,82,T
customer_479,15,77,T
customer_480,55,2,T
customer_481,8,11,T
customer_483,49,74,T
customer_484,22,46,T
customer_485,75,52,T
customer_486,66,66,T
customer_488,34,85,T
customer_491,10,64,T
customer_492,46,99,T
customer_504,29,62,T
customer_505,51,89,T
customer_508,26,82,T
customer_518,29,59,T
customer_523,47,98,T
customer_524,69,84,T
customer_525,63,55,T
customer_534,15,91,T
customer_539,6,38,T
customer_542,1,37,T
customer_546,26,88,T
customer_548,18,52,T
customer_550,70,64,T
customer_551,64,61,T
customer_555,95,69,T
customer_557,57,70,T
customer_562,44,12,T
customer_563,21,67,T
customer_567,8,95,T
customer_568,36,98,T
customer_569,86,89,T
customer_570,55,40,T
customer_571,43,23,T
customer_572,24,47,T
customer_575,99,22,T
customer_576,9,36,T
customer_577,56,83,T
customer_581,9,92,T
customer_582,46,8,T
customer_585,78,68,T
customer_586,95,72,T
customer_587,78,60,T
customer_588,43,87,T
customer_590,69,2,T
customer_595,76,54,T
customer_596,3,91,T
customer_597,66,21,F
customer_599,51,96,T
customer_605,94,72,T
customer_607,21,59,T
customer_610,48,79,T
customer_611,60,10,T
customer_613,92,84,T
customer_617,6,73,T
customer_618,46,65,T
customer_619,29,36,F
customer_620,10,100,T
customer_623,10,45,T
customer_624,9,37,T
customer_628,4,97,T
customer_629,7,28,T
customer_630,51,16,T
customer_633,41,95,T
customer_634,69,63,T
customer_640,40,82,T
customer_641,66,49,T
customer_644,75,42,F
customer_647,10,66,T
customer_648,45,11,T
customer_649,38,53,T
customer_651,74,97,T
customer_652,22,60,T
customer_657,82,87,T
customer_661,10,34,T
customer_665,42,16,T
customer_666,1,1,T
customer_668,14,41,T
customer_670,25,97,T
customer_672,51,17,T
customer_674,55,65,T
customer_676,43,33,T
customer_677,93,44,T
customer_684,81,49,T
customer_686,38,84,T
customer_692,9,10,T
customer_693,77,50,T
customer_694,62,42,T
customer_697,77,88,T
customer_698,51,72,T
customer_699,49,62,T
customer_700,17,72,T
customer_701,73,3,T
customer_702,51,73,T
customer_703,19,92,T
customer_707,25,51,T
customer_713,95,76,T
customer_714,59,98,T
customer_717,16,66,T
customer_718,85,68,T
customer_720,63,93,T
customer_723,3,11,T
customer_724,1,33,T
customer_725,58,49,F
customer_726,47,37,T
customer_727,61,96,T
customer_728,30,60,T
customer_729,64,70,T
customer_732,93,62,T
customer_747,97,95,T
customer_748,21,100,T
customer_749,14,26,F
customer_751,45,3,T
customer_753,9,18,T
customer_759,96,88,T
customer_762,17,87,T
customer_764,89,65,T
customer_766,98,76,T
customer_768,43,4,T
customer_770,14,76,T
customer_771,14,97,T
customer_773,83,80,T
customer_777,33,74,T
customer_780,77,65,T
customer_783,99,31,T
customer_785,50,82,T
customer_787,91,73,T
customer_788,95,12,T
customer_791,86,89,T
customer_797,65,83,T
customer_801,9,52,T
customer_802,27,95,T
customer_805,100,71,T
customer_808,15,98,T
customer_809,91,55,T
customer_810,88,88,T
customer_818,13,89,T
customer_819,84,9,F
customer_820,36,8,T
customer_824,95,59,T
customer_825,58,40,T
customer_827,69,58,T
customer_828,29,80,T
customer_829,99,90,T
customer_830,17,57,T
customer_832,48,61,T
customer_833,15,8,T
customer_834,6,22,T
customer_836,40,50,T
customer_837,39,14,T
customer_840,46,11,T
customer_843,48,6,T
customer_845,37,91,T
customer_846,23,3,T
customer_849,22,94,T
customer_850,96,10,T
customer_851,40,73,T
customer_855,72,65,T
customer_856,3,29,T
customer_857,54,17,T
customer_858,9,37,T
customer_862,6,35,T
customer_868,53,83,T
customer_873,40,92,T
customer_874,49,81,T
customer_875,28,79,T
customer_881,94,45,T
customer_882,100,50,T
customer_883,51,79,T
customer_884,11,77,T
customer_887,40,68,T
customer_890,96,69,T
customer_892,78,57,T
customer_898,55,66,T
customer_904,43,17,T
customer_905,45,61,T
customer_907,14,97,T
customer_913,27,48,T
customer_917,18,59,T
customer_922,9,29,F
customer_928,54,36,T
customer_929,96,63,T
customer_930,60,96,T
customer_932,32,92,T
customer_933,49,24,T
customer_937,84,52,T
customer_943,22,100,T
customer_946,7,97,T
customer_949,90,93,T
customer_950,32,89,T
customer_954,1,16,T
customer_955,67,61,T
customer_961,31,73,T
customer_966,94,99,T
customer_975,10,44,T
customer_976,39,8,T
customer_977,29,72,T
customer_979,47,74,T
customer_982,14,9,T
customer_989,76,48,T
customer_991,6,14,T
customer_992,8,77,T
customer_998,9,83,T
customer_1000,7,34,T
customer_1001,85,7,T
customer_1003,8,61,T
customer_1008,62,56,T
customer_1010,83,50,T
customer_1011,98,53,T
customer_1012,97,18,T
customer_1013,83,20,F
customer_1014,42,40,T
customer_1016,55,16,T
customer_1017,75,96,T
customer_1021,1,4,T
customer_1024,13,54,T
customer_1025,72,98,T
customer_1029,6,87,T
customer_1031,61,3,T
customer_1034,80,26,F
customer_1035,43,17,T
customer_1037,51,20,T
customer_1038,78,57,T
customer_1039,4,45,T
customer_1040,93,34,T
customer_1042,90,45,T
customer_1044,39,45,T
customer_1045,43,5,T
customer_1047,42,25,F
customer_1054,63,52,T
customer_1060,55,7,T
customer_1061,49,79,T
customer_1065,7,16,T
customer_1066,65,58,T
customer_1067,13,66,T
customer_1069,27,77,T
customer_1070,45,84,T
customer_1074,39,50,T
customer_1077,52,1,T
