CUSTOMER_ID,GENDER,AGE,MOSAIC BANDS,PRE-CAMPAIGN EXPENDITURE,PRE-CAMPAIGN VISITS,RESPONSE TO CAMPAIGN
"Cust_0001","Male",21,"Mos_03",95,4,"Yes"
"Cust_0002","Male",21,"Mos_05",61,4,"Yes"
"Cust_0003","Male",22,"Mos_04",45,2,"Yes"
"Cust_0004","Male",22,"Mos_03",83,12,"Yes"
"Cust_0005","Male",23,"Mos_02",61,1,"Yes"
"Cust_0006","Male",23,"Mos_03",96,5,"Yes"
"Cust_0007","Male",24,"Mos_03",91,6,"Yes"
"Cust_0008","Male",24,"Mos_06",92,5,"Yes"
"Cust_0009","Male",24,"Mos_10",54,5,"Yes"
"Cust_0010","Male",24,"Mos_05",64,10,"Yes"
"Cust_0011","Male",25,"Mos_06",85,1,"Yes"
"Cust_0012","Male",25,"Mos_03",86,11,"Yes"
"Cust_0013","Male",25,"Mos_04",121,6,"Yes"
"Cust_0014","Male",25,"Mos_03",50,3,"Yes"
"Cust_0015","Male",25,"Mos_06",17,1,"Yes"
"Cust_0016","Male",25,"Mos_06",83,5,"Yes"
"Cust_0017","Male",20,"Mos_04",70,5,"No"
"Cust_0018","Male",20,"Mos_06",68,3,"No"
"Cust_0019","Male",21,"Mos_02",77,5,"No"
"Cust_0020","Male",21,"Mos_04",98,1,"No"
"Cust_0021","Male",21,"Mos_06",59,1,"No"
"Cust_0022","Male",21,"Mos_03",50,1,"No"
"Cust_0023","Male",21,"Mos_01",63,1,"No"
"Cust_0024","Male",22,"Mos_02",65,1,"No"
"Cust_0025","Male",22,"Mos_03",79,1,"No"
"Cust_0026","Male",22,"Mos_04",88,2,"No"
"Cust_0027","Male",22,"Mos_02",54,6,"No"
"Cust_0028","Male",22,"Mos_08",63,2,"No"
"Cust_0029","Male",22,"Mos_03",55,2,"No"
"Cust_0030","Male",22,"Mos_03",57,1,"No"
"Cust_0031","Male",22,"Mos_04",55,1,"No"
"Cust_0032","Male",22,"Mos_06",52,1,"No"
"Cust_0033","Male",23,"Mos_07",99,2,"No"
"Cust_0034","Male",23,"Mos_07",37,3,"No"
"Cust_0035","Male",23,"Mos_10",52,1,"No"
"Cust_0036","Male",23,"Mos_02",91,1,"No"
"Cust_0037","Male",23,"Mos_03",89,3,"No"
"Cust_0038","Male",23,"Mos_04",69,3,"No"
"Cust_0039","Male",23,"Mos_06",54,4,"No"
"Cust_0040","Male",23,"Mos_03",53,7,"No"
"Cust_0041","Male",23,"Mos_09",60,1,"No"
"Cust_0042","Male",24,"Mos_07",0,0,"No"
"Cust_0043","Male",24,"Mos_12",56,2,"No"
"Cust_0044","Male",24,"Mos_09",56,3,"No"
"Cust_0045","Male",24,"Mos_10",92,4,"No"
"Cust_0046","Male",24,"Mos_03",74,4,"No"
"Cust_0047","Male",24,"Mos_04",80,3,"No"
"Cust_0048","Male",24,"Mos_04",66,2,"No"
"Cust_0049","Male",24,"Mos_07",88,8,"No"
"Cust_0050","Male",24,"Mos_03",182,6,"No"
"Cust_0051","Male",24,"Mos_03",58,1,"No"
"Cust_0052","Male",24,"Mos_10",89,3,"No"
"Cust_0053","Male",25,"Mos_06",251,6,"No"
"Cust_0054","Male",25,"Mos_04",58,2,"No"
"Cust_0055","Male",25,"Mos_04",61,2,"No"
"Cust_0056","Male",25,"Mos_07",68,1,"No"
"Cust_0057","Male",25,"Mos_05",95,1,"No"
"Cust_0058","Male",25,"Mos_07",57,4,"No"
"Cust_0059","Male",25,"Mos_04",69,3,"No"
"Cust_0060","Male",25,"Mos_03",85,3,"No"
"Cust_0061","Male",25,"Mos_10",53,2,"No"
"Cust_0062","Male",25,"Mos_03",59,1,"No"
"Cust_0063","Male",25,"Mos_10",59,7,"No"
"Cust_0064","Male",25,"Mos_04",83,2,"No"
"Cust_0065","Male",25,"Mos_01",80,1,"No"
"Cust_0066","Male",25,"Mos_10",64,7,"No"
"Cust_0067","Male",25,"Mos_08",76,10,"No"
"Cust_0068","Male",25,"Mos_06",62,2,"No"
"Cust_0069","Male",25,"Mos_03",53,1,"No"
"Cust_0070","Male",25,"Mos_01",111,2,"No"
"Cust_0071","Male",25,"Mos_03",63,4,"No"
"Cust_0072","Male",25,"Mos_03",57,2,"No"
"Cust_0073","Male",25,"Mos_02",72,1,"No"
"Cust_0074","Male",25,"Mos_10",60,1,"No"
"Cust_0075","Male",25,"Mos_10",74,2,"No"
"Cust_0076","Male",25,"Mos_03",99,1,"No"
"Cust_0077","Male",25,"Mos_06",83,2,"No"
"Cust_0078","Male",25,"Mos_06",84,1,"No"
"Cust_0079","Male",25,"Mos_01",77,10,"No"
"Cust_0080","Female",22,"Mos_07",35,1,"Yes"
