employee_id,gender,age,region,educational_level,job_category,months_previous_experience,current_salary
PID 001,Male,42,South,5,Manager,144,57000
PID 002,Male,36,East,5,Clerical,36,40200
PID 003,Female,65,East,2,Clerical,381,21450
PID 004,Female,47,North,1,Clerical,190,21900
PID 005,Male,39,East,4,Clerical,138,45000
PID 006,Male,36,West,5,Clerical,67,32100
PID 007,Male,38,East,5,Clerical,114,36000
PID 008,Female,28,North,3,Clerical,0,21900
PID 009,Female,48,East,5,Clerical,115,27900
PID 010,Female,48,East,3,Clerical,244,24000
PID 011,Female,44,North,5,Clerical,143,30300
PID 012,Male,28,South,1,Clerical,26,28350
PID 013,Male,34,North,5,Clerical,34,27750
PID 014,Female,45,South,5,Clerical,137,35100
PID 015,Male,32,South,3,Clerical,66,27300
PID 016,Male,29,North,3,Clerical,24,40800
PID 017,Male,32,North,4,Clerical,48,46000
PID 018,Male,38,East,4,Manager,70,103750
PID 019,Male,32,South,3,Clerical,103,42300
PID 020,Female,54,West,3,Clerical,48,26250
PID 021,Female,31,East,5,Clerical,17,38850
PID 022,Male,54,South,3,Clerical,315,21750
PID 023,Female,29,South,4,Clerical,75,24000
PID 024,Female,61,East,3,Clerical,124,16950
PID 025,Female,52,South,4,Clerical,171,21150
PID 026,Male,27,West,5,Clerical,14,31050
PID 027,Male,40,East,5,Manager,96,60375
PID 028,Male,31,West,4,Clerical,43,32550
PID 029,Male,51,West,4,Manager,199,135000
PID 030,Male,33,South,5,Clerical,54,31200
PID 031,Male,30,West,3,Clerical,83,36150
PID 032,Male,40,North,4,Manager,120,110625
PID 033,Male,33,West,4,Clerical,68,42000
PID 034,Male,45,South,5,Manager,175,92000
PID 035,Male,33,North,4,Manager,18,81250
PID 036,Female,31,South,1,Clerical,52,31350
PID 037,Male,40,West,3,Clerical,113,29100
PID 038,Male,32,West,4,Clerical,49,31350
PID 039,Male,34,West,5,Clerical,46,36000
PID 040,Female,61,East,4,Clerical,23,19200
PID 041,Female,33,North,2,Clerical,52,23550
PID 042,Male,34,West,4,Clerical,90,35100
PID 043,Male,30,North,3,Clerical,46,23250
PID 044,Male,31,East,1,Clerical,50,29250
PID 045,Male,56,South,3,Custodial,307,30750
PID 046,Female,53,North,5,Clerical,165,22350
PID 047,Female,56,South,3,Clerical,228,30000
PID 048,Male,47,East,3,Custodial,240,30750
PID 049,Male,36,East,4,Clerical,93,34800
PID 050,Male,34,East,4,Manager,59,60000
PID 051,Male,32,East,3,Clerical,48,35550
PID 052,Male,30,East,5,Clerical,40,
PID 053,Male,40,South,4,Manager,56,73750
PID 054,Male,,South,3,Clerical,444,25050
PID 055,Male,34,North,3,Clerical,120,27000
PID 056,Male,32,East,4,Clerical,5,26850
PID 057,Male,31,West,4,Clerical,78,33900
PID 058,Female,29,South,5,Clerical,3,26400
PID 059,Male,33,South,4,Clerical,36,28050
PID 060,Male,35,West,3,Clerical,102,30900
PID 061,Male,30,East,1,Clerical,36,22500
PID 062,Male,32,North,5,Manager,22,48000
PID 063,Male,33,North,5,Manager,32,55000
PID 064,Male,31,North,4,Manager,48,53125
PID 065,Male,30,South,1,Clerical,41,21900
PID 066,Male,32,South,4,Manager,7,78125
PID 067,Male,30,South,4,Manager,35,46000
PID 068,Male,31,South,4,Manager,36,45250
PID 069,Male,34,South,5,Manager,34,56550
PID 070,Male,32,South,5,Clerical,27,41100
PID 071,Male,46,West,5,Manager,207,82500
PID 072,Female,30,East,4,Clerical,11,54000
PID 073,Female,26,South,3,Clerical,0,26400
PID 074,Female,61,East,5,Clerical,192,33900
PID 075,Female,29,South,5,Clerical,0,24150
PID 076,Female,27,West,4,Clerical,11,29250
PID 077,Female,26,East,2,Clerical,6,27600
PID 078,Female,26,North,3,Clerical,10,22950
PID 079,Female,32,West,4,Clerical,8,34800
PID 080,Female,33,West,4,Clerical,22,51000
PID 081,Female,26,West,3,Clerical,5,24300
PID 082,Female,47,West,3,Clerical,193,24750
PID 083,Female,27,South,3,Clerical,0,22950
PID 084,Female,27,West,1,Clerical,8,25050
PID 085,Male,32,North,5,Clerical,42,25950
PID 086,Male,33,West,5,Clerical,64,31650
PID 087,Male,35,East,3,Clerical,130,24150
PID 088,Male,32,East,5,Manager,10,72500
PID 089,Male,33,West,4,Manager,8,68750
PID 090,Female,56,West,1,Clerical,0,16200
PID 091,Female,26,East,3,Clerical,24,20100
PID 092,Female,26,South,1,Clerical,6,24000
PID 093,Female,26,East,3,Clerical,0,25950
PID 094,Female,44,East,2,Clerical,44,24600
PID 095,Female,26,East,3,Clerical,6,28500
PID 096,Male,61,West,1,Custodial,432,30750
PID 097,Male,41,East,5,Clerical,168,40200
PID 098,Male,38,South,1,Custodial,144,30000
PID 099,Female,26,North,3,Clerical,5,22050
PID 100,Male,31,South,4,Manager,47,78250
PID 101,Male,34,East,4,Manager,44,60625
PID 102,Male,31,East,3,Clerical,59,39900
PID 103,Male,35,West,5,Manager,68,97000
PID 104,Male,31,North,5,Clerical,48,
PID 105,Male,28,East,4,Clerical,18,31650
PID 106,Male,,South,4,Manager,23,91250
PID 107,Female,34,South,3,Clerical,83,25200
PID 108,Female,64,North,2,Clerical,108,21000
PID 109,Male,30,North,3,Clerical,49,30450
PID 110,Male,42,South,4,Clerical,151,28350
PID 111,Male,53,South,2,Custodial,314,30750
PID 112,Male,46,North,2,Custodial,240,30750
PID 113,Male,35,West,4,Manager,68,54875
PID 114,Male,33,East,3,Clerical,60,37800
PID 115,Male,33,North,4,Clerical,85,33450
PID 116,Male,32,South,4,Clerical,16,30300
PID 117,Female,62,East,3,Clerical,205,31500
PID 118,Female,30,South,3,Clerical,48,31650
PID 119,Female,31,East,2,Clerical,55,25200
PID 120,Female,29,East,4,Manager,7,37800
PID 121,Female,58,West,4,Clerical,54,18750
PID 122,Female,29,North,4,Clerical,22,32550
PID 123,Female,45,West,3,Clerical,3,33300
PID 124,Female,31,North,4,Clerical,0,38550
PID 125,Male,38,South,3,Clerical,173,27450
PID 126,Male,43,West,5,Custodial,191,24300
PID 127,Male,44,West,3,Custodial,209,30750
PID 128,Female,48,East,3,Clerical,229,19650
PID 129,Male,35,East,4,Manager,38,68750
PID 130,Male,36,South,5,Manager,6,59375
PID 131,Male,32,North,5,Clerical,22,31500
PID 132,Male,41,East,3,Clerical,175,27300
PID 133,Male,35,East,5,Clerical,87,27000
PID 134,Female,52,West,4,Manager,285,41550
PID 135,Female,26,North,2,Clerical,0,26250
PID 136,Male,55,North,3,Clerical,324,22200
PID 137,Male,57,West,5,Manager,264,65000
PID 138,Male,47,South,3,Clerical,252,30900
PID 139,Female,63,South,1,Clerical,90,20100
PID 140,Female,29,East,3,Clerical,26,22350
PID 141,Female,28,West,4,Clerical,32,35550
PID 142,Female,27,West,3,Clerical,34,28500
PID 143,Female,55,East,2,Clerical,107,24450
PID 144,Female,63,West,1,Clerical,412,16650
PID 145,Male,30,East,3,Clerical,38,26700
PID 146,Male,43,East,5,Clerical,182,43950
PID 147,Male,58,South,4,Clerical,359,23700
PID 148,Female,35,North,4,Clerical,61,26550
PID 149,Male,32,North,3,Clerical,75,27600
PID 150,Male,40,North,3,Clerical,143,25800
PID 151,Male,40,East,4,Manager,126,42300
PID 152,Male,65,North,1,Custodial,451,30750
PID 153,Female,27,West,2,Clerical,18,26700
PID 154,Female,54,South,3,Clerical,163,20850
PID 155,Male,31,South,5,Clerical,54,35250
PID 156,Male,31,South,4,Clerical,56,26700
PID 157,Female,27,South,3,Clerical,11,26550
PID 158,Female,30,East,3,Clerical,11,27750
PID 159,Female,43,East,4,Clerical,123,25050
PID 160,Male,43,South,4,Manager,150,66000
PID 161,Male,31,North,5,Clerical,20,52650
PID 162,Male,33,East,5,Manager,60,45625
PID 163,Male,28,West,4,Clerical,25,30900
PID 164,Female,29,South,4,Clerical,24,29400
PID 165,Female,28,West,4,Clerical,24,33300
PID 166,Female,52,East,3,Clerical,156,21900
PID 167,Female,62,East,3,Clerical,72,18150
PID 168,Female,32,East,4,Manager,19,46875
PID 169,Male,29,West,3,Clerical,37,25500
PID 170,Male,30,West,3,Clerical,38,26550
PID 171,Male,64,South,3,Clerical,367,26700
PID 172,Female,41,South,4,Clerical,79,29850
PID 173,Male,44,West,5,Manager,134,69250
PID 174,Male,59,North,1,Custodial,438,31950
PID 175,Male,56,North,1,Clerical,171,26250
PID 176,Female,32,East,4,Clerical,19,35700
PID 177,Female,32,North,2,Clerical,69,28500
PID 178,Female,56,East,3,Clerical,72,17100
PID 179,Male,29,West,3,Clerical,29,25200
PID 180,Female,34,East,2,Clerical,59,24000
PID 181,Female,55,South,3,Clerical,101,27450
PID 182,Female,51,West,2,Clerical,228,18450
PID 183,Male,34,East,4,Clerical,72,39300
PID 184,Male,29,East,4,Clerical,53,38850
PID 185,Male,64,East,1,Custodial,380,30750
PID 186,Male,30,East,4,Clerical,33,37500
PID 187,Male,31,East,5,Manager,13,58750
PID 188,Female,60,North,2,Clerical,208,34500
PID 189,Female,44,East,3,Clerical,240,36000
PID 190,Female,61,East,1,Clerical,35,29100
PID 191,Female,63,South,3,Clerical,288,16500
