customer_id,data_known,gender,age,tariff,dropped_calls,handset,peak_mins,peak_rate,bill_peak,offpeak_mins,offpeak_rate,bill_offpeak,gadget_A,gadget_B,gadget_C,gadget_D,gadget_A_revenues,gadget_B_revenues,gadget_C_revenues,gadget_D_revenues
N247880,yes,Female,31,CAT 50,0,BS110,393.6,15,59.04,19.2,5,0.96,F,F,F,F,0,0,0,0
N376450,yes,Female,42,CAT 50,6,CAS30,136.199999,15,20.42999985,36.9,5,1.845,F,F,F,F,0,0,0,0
N109880,yes,Female,62,CAT 100,9,ASAD170,657.600001,15,98.64000015,122.399999,5,6.11999995,T,T,T,F,11,20,28,0
N109885,no,,,,,,,,,,,,,,,,,,,
N188070,yes,Male,24,CAT 200,0,S50,1335.6,10,133.56,396.900001,5,19.84500005,T,T,F,T,10,24,0,41
N201040,yes,Female,20,CAT 200,2,ASAD170,844.8,10,84.48,300.6,5,15.03,T,T,T,T,8,23,33,40
N164070,yes,Female,31,Play 300,10,ASAD170,336.599999,25,84.14999975,432.9,2,8.658,F,T,T,T,0,23,26,43
N201620,yes,Male,15,CAT 200,1,S50,1243.800001,10,124.3800001,729.9,5,36.495,T,T,F,T,9,15,0,37
N408820,yes,Female,18,CAT 200,12,S50,2346,10,234.6,101.4,5,5.07,T,T,F,T,14,17,0,38
N178490,yes,Male,25,CAT 200,9,S50,976.8,10,97.68,48.299999,5,2.41499995,T,T,T,T,10,17,26,40
N348730,yes,Male,31,CAT 100,1,CAS30,481.2,15,72.18,45.3,5,2.265,F,F,F,F,0,0,0,0
N173280,yes,Female,17,CAT 200,2,S50,927.600001,10,92.7600001,198.299999,5,9.91499995,F,F,F,F,0,0,0,0
N262370,yes,Male,49,Play 100,0,BS210,64.199999,25,16.04999975,464.4,5,23.22,F,F,T,F,0,0,26,0
N207500,yes,Female,14,Play 300,2,S50,486.600001,25,121.6500003,470.7,2,9.414,F,F,F,F,0,0,0,0
N204780,yes,Male,23,Play 100,0,ASAD90,122.4,25,30.6,540.6,5,27.03,T,F,T,F,14,0,30,0
N286390,yes,Male,24,CAT 100,0,BS110,537,15,80.55,129,5,6.45,T,T,T,T,11,22,29,37
N392950,yes,Male,57,Play 300,9,CAS60,204.600001,25,51.15000025,548.1,2,10.962,F,F,F,F,0,0,0,0
N273340,yes,Male,56,Play 300,1,S80,304.8,25,76.2,361.8,2,7.236,F,F,F,F,0,0,0,0
