customer_id,data_known,gender,age,tariff,dropped_calls,handset,peak_mins,peak_rate,bill_peak,offpeak_mins,offpeak_rate,bill_offpeak,gadget_A,gadget_B,gadget_C,gadget_D,gadget_A_revenues,gadget_B_revenues,gadget_C_revenues,gadget_D_revenues,churn,retention
K100010,yes,Male,46,CAT 50,1,SOP10,36,15,5,8,5,0,F,F,T,F,0,0,28,0,Churned,F
K100020,yes,Male,27,CAT 50,0,SOP10,39,15,6,21,5,1,T,F,F,F,11,0,0,0,Churned,F
K100030,yes,Male,39,CAT 50,2,SOP20,73,15,11,28,5,1,T,T,F,T,8,23,0,35,Churned,F
K100040,yes,Male,28,CAT 50,2,SOP10,73,15,11,28,5,1,T,T,F,T,13,18,0,41,Churned,F
K100050,yes,Male,47,CAT 50,0,SOP10,41,15,6,19,5,1,F,F,F,F,0,0,0,0,Churned,F
K100060,yes,Male,29,CAT 50,1,SOP10,46,15,7,11,5,1,F,F,F,F,0,0,0,0,Churned,F
K100070,yes,Male,38,CAT 50,1,SOP20,56,15,8,4,5,0,F,F,T,F,0,0,32,0,Churned,F
K100080,yes,Male,27,CAT 50,0,SOP20,51,15,8,35,5,2,F,F,F,F,0,0,0,0,Churned,F
K100090,yes,Male,38,CAT 50,1,SOP20,99,15,15,53,5,3,F,F,F,F,0,0,0,0,Churned,F
K100100,yes,Male,48,CAT 50,0,SOP20,65,15,10,29,5,1,T,T,F,T,7,23,0,41,Churned,F
K100110,yes,Male,34,CAT 50,2,SOP20,65,15,10,29,5,1,F,F,F,T,0,0,0,39,Churned,F
K100120,yes,Male,32,CAT 50,0,SOP20,68,15,10,34,5,2,F,F,F,F,0,0,0,0,Churned,F
K100130,yes,Male,45,CAT 50,2,SOP20,63,15,10,27,5,1,F,T,T,F,0,24,31,0,Churned,F
K100140,yes,Male,29,CAT 50,1,SOP20,41,15,6,16,5,1,F,F,F,F,0,0,0,0,Churned,F
K100150,yes,Male,30,CAT 50,2,SOP20,96,15,14,35,5,2,F,T,T,T,0,23,27,37,Churned,F
K100160,yes,Male,28,CAT 50,9,SOP20,41,15,6,24,5,1,F,F,F,F,0,0,0,0,Churned,F
K100170,yes,Male,26,CAT 50,1,SOP10,100,15,15,31,5,2,F,F,F,F,0,0,0,0,Churned,F
K100180,yes,Male,37,CAT 50,1,SOP10,42,15,6,22,5,1,F,F,F,F,0,0,0,0,Churned,F
K100190,yes,Male,38,CAT 50,2,SOP10,59,15,9,29,5,1,F,F,F,F,0,0,0,0,Churned,F
K100200,yes,Male,46,CAT 50,0,SOP10,85,15,13,28,5,1,F,F,F,F,0,0,0,0,Churned,F
K100210,yes,Male,30,CAT 50,2,SOP20,85,15,13,28,5,1,F,F,F,F,0,0,0,0,Churned,F
K100220,yes,Male,28,CAT 50,9,SOP20,42,15,6,15,5,1,F,F,F,F,0,0,0,0,Churned,F
